slug,name,category,size,sku,price_usd,cost_usd,margin_usd,margin_pct,visibility,no_shipping
klow-blend,Klow Blend,longevity-research,80mg (50/10/10/10mg),KLOW-80,200.00,50.00,150.00,75,public,false
cjc-1295-with-dac,CJC-1295 (with DAC),growth-hormone-research,5mg,CJCDAC-5,100.00,25.00,75.00,75,public,false
cjc-1295-with-dac,CJC-1295 (with DAC),growth-hormone-research,10mg,CJCDAC-10,160.00,40.00,120.00,75,public,false
follistatin-344,Follistatin 344,growth-hormone-research,1mg,FOLLI-1,240.00,60.00,180.00,75,public,false
ghrp-2,GHRP-2,growth-hormone-research,5mg,GHRP2-5,35.00,8.00,27.00,77,public,false
ghrp-2,GHRP-2,growth-hormone-research,10mg,GHRP2-10,60.00,15.00,45.00,75,public,false
ghrp-6,GHRP-6,growth-hormone-research,5mg,GHRP6-5,55.00,13.00,42.00,76,public,false
ghrp-6,GHRP-6,growth-hormone-research,10mg,GHRP6-10,60.00,15.00,45.00,75,public,false
hexarelin,Hexarelin,growth-hormone-research,5mg,HEX-5,75.00,18.00,57.00,76,public,false
ll37,LL-37,inflammation-research,5mg,LL37-5,75.00,18.00,57.00,76,public,false
melanotan-1,Melanotan 1,neuroendocrine-research,10mg,MT1-10,50.00,12.00,38.00,76,public,false
melanotan-2,Melanotan 2,neuroendocrine-research,10mg,MT2-10,75.00,18.00,57.00,76,public,false
peg-mgf,PEG-MGF,growth-hormone-research,2mg,PMGF-2,100.00,24.00,76.00,76,public,false
pinealon,Pinealon,nootropic-research,10mg,PIN-10,60.00,14.00,46.00,77,public,false
snap-8,Snap-8,longevity-research,10mg,SNAP-10,60.00,15.00,45.00,75,public,false
glutathione,Glutathione,longevity-research,1500mg,GLU-1500,65.00,16.00,49.00,75,public,false
